id,labels,nombre,categoria,marca,precio_unitario,local_importado
46,Producto,Once Adidas,Deportes,Adidas,82.6,False
47,Producto,Feeling Hamilton Beach,Hogar,Hamilton Beach,47.56,True
48,Producto,Cell Michelin,Automotriz,Michelin,659.45,False
49,Producto,Always Black+Decker,Hogar,Black+Decker,84.94,True
50,Producto,Trade Unilever,Alimentos,Unilever,25.87,True
51,Producto,People Castrol,Automotriz,Castrol,145.07,True
52,Producto,Include Xiaomi,Electrónica,Xiaomi,1820.12,True
53,Producto,Become LG,Electrónica,LG,516.36,False
54,Producto,Likely Hamilton Beach,Hogar,Hamilton Beach,323.96,False
55,Producto,Wait Adidas,Deportes,Adidas,282.66,True
56,Producto,Alone Apple,Electrónica,Apple,1790.13,False
57,Producto,First Bridgestone,Automotriz,Bridgestone,61.75,False
58,Producto,Start Unilever,Alimentos,Unilever,3.6,False
59,Producto,Team Apple,Electrónica,Apple,1612.5,False
60,Producto,Painting Hamilton Beach,Hogar,Hamilton Beach,339.65,True
61,Producto,Green Reebok,Deportes,Reebok,34.11,True
62,Producto,Wall LG,Electrónica,LG,200.95,True
63,Producto,Others Xiaomi,Electrónica,Xiaomi,1147.92,True
64,Producto,Seek Michelin,Automotriz,Michelin,70.45,True
65,Producto,Piece Hamilton Beach,Hogar,Hamilton Beach,187.46,True
66,Producto,Wish Hamilton Beach,Hogar,Hamilton Beach,299.49,False
67,Producto,Policy Nestlé,Alimentos,Nestlé,25.33,True
68,Producto,Response PepsiCo,Alimentos,PepsiCo,11.76,True
69,Producto,Role Oster,Hogar,Oster,299.17,False
70,Producto,Simple Apple,Electrónica,Apple,305.95,True
71,Producto,Growth Nike,Deportes,Nike,184.71,False
72,Producto,Success Kellogg's,Alimentos,Kellogg's,21.52,True
73,Producto,Manage Goodyear,Automotriz,Goodyear,755.78,True
74,Producto,Whether Michelin,Automotriz,Michelin,392.18,True
75,Producto,Fact Nike,Deportes,Nike,72.99,True
76,Producto,Return Sony,Electrónica,Sony,444.15,True
77,Producto,Argue Oster,Hogar,Oster,179.98,False
78,Producto,Expert Michelin,Automotriz,Michelin,122.53,True
79,Producto,Wall Hamilton Beach,Hogar,Hamilton Beach,421.56,False
80,Producto,West Kellogg's,Alimentos,Kellogg's,38.78,True
81,Producto,Attention Michelin,Automotriz,Michelin,227.26,False
82,Producto,Chance Kellogg's,Alimentos,Kellogg's,6.88,True
83,Producto,Democratic Hamilton Beach,Hogar,Hamilton Beach,223.88,False
84,Producto,None PepsiCo,Alimentos,PepsiCo,46.34,False
85,Producto,Simple Nestlé,Alimentos,Nestlé,17.89,False
86,Producto,Boy PepsiCo,Alimentos,PepsiCo,20.29,False
87,Producto,Doctor Oster,Hogar,Oster,234.74,True
88,Producto,Service T-Fal,Hogar,T-Fal,454.6,True
89,Producto,Book Kellogg's,Alimentos,Kellogg's,29.28,True
90,Producto,Consider Michelin,Automotriz,Michelin,321.99,True
91,Producto,But Michelin,Automotriz,Michelin,137.82,True
92,Producto,Tree Michelin,Automotriz,Michelin,750.11,False
93,Producto,Network Michelin,Automotriz,Michelin,463.93,True
94,Producto,Health LG,Electrónica,LG,1926.34,False
95,Producto,Son Sony,Electrónica,Sony,1122.52,True
96,Producto,Beat Unilever,Alimentos,Unilever,43.9,False
97,Producto,Until Hamilton Beach,Hogar,Hamilton Beach,421.96,True
98,Producto,Government Sony,Electrónica,Sony,683.04,True
99,Producto,Easy Unilever,Alimentos,Unilever,24.39,True
100,Producto,Attention Black+Decker,Hogar,Black+Decker,470.67,True
101,Producto,Late LG,Electrónica,LG,726.98,False
102,Producto,Civil Nestlé,Alimentos,Nestlé,1.09,False
103,Producto,Knowledge Puma,Deportes,Puma,62.23,True
104,Producto,Than Kellogg's,Alimentos,Kellogg's,10.23,False
105,Producto,City Goodyear,Automotriz,Goodyear,323.62,False
106,Producto,Who Bridgestone,Automotriz,Bridgestone,221.92,False
107,Producto,About LG,Electrónica,LG,1123.89,True
108,Producto,Event Puma,Deportes,Puma,87.23,False
109,Producto,Around Castrol,Automotriz,Castrol,639.22,True
110,Producto,Mean Puma,Deportes,Puma,146.32,True
111,Producto,Miss Reebok,Deportes,Reebok,279.35,True
112,Producto,Thank LG,Electrónica,LG,1554.52,False
113,Producto,All LG,Electrónica,LG,104.24,True
114,Producto,Despite Nestlé,Alimentos,Nestlé,28.74,False
115,Producto,Even Goodyear,Automotriz,Goodyear,751.93,True
116,Producto,She Adidas,Deportes,Adidas,279.9,True
117,Producto,Mind Nike,Deportes,Nike,27.82,False
118,Producto,To Goodyear,Automotriz,Goodyear,528.16,True
119,Producto,Board Adidas,Deportes,Adidas,192.05,False
120,Producto,Win Nike,Deportes,Nike,76.56,True
121,Producto,Nearly PepsiCo,Alimentos,PepsiCo,30.57,False
122,Producto,Mind PepsiCo,Alimentos,PepsiCo,26.79,False
123,Producto,Trade Xiaomi,Electrónica,Xiaomi,455.04,False
124,Producto,Science Sony,Electrónica,Sony,1393.81,False
125,Producto,Mother Nike,Deportes,Nike,128.94,False
126,Producto,Water Bridgestone,Automotriz,Bridgestone,545.21,False
127,Producto,Experience Goodyear,Automotriz,Goodyear,217.5,False
128,Producto,Step Nestlé,Alimentos,Nestlé,27.87,False
129,Producto,Character Michelin,Automotriz,Michelin,440.9,False
130,Producto,Effort Sony,Electrónica,Sony,908.61,True
131,Producto,Leave Unilever,Alimentos,Unilever,8.37,True
132,Producto,Money Castrol,Automotriz,Castrol,594.95,False
133,Producto,Pay Nestlé,Alimentos,Nestlé,14.85,False
134,Producto,Usually LG,Electrónica,LG,1055.8,True
135,Producto,Relationship LG,Electrónica,LG,1893.82,False
136,Producto,Young Sony,Electrónica,Sony,1029.68,False
137,Producto,Paper Bridgestone,Automotriz,Bridgestone,72.69,False
138,Producto,Democrat Apple,Electrónica,Apple,1996.62,False
139,Producto,Happen PepsiCo,Alimentos,PepsiCo,35.47,True
140,Producto,Particularly LG,Electrónica,LG,742.55,True
141,Producto,Season Kellogg's,Alimentos,Kellogg's,24.32,True
142,Producto,News Unilever,Alimentos,Unilever,9.98,False
143,Producto,Argue Goodyear,Automotriz,Goodyear,472.17,False
144,Producto,Effect T-Fal,Hogar,T-Fal,253.67,True
145,Producto,Attorney Xiaomi,Electrónica,Xiaomi,1135.54,False
146,Producto,Agree Puma,Deportes,Puma,191.31,True
147,Producto,Score Adidas,Deportes,Adidas,145.51,False
148,Producto,Give PepsiCo,Alimentos,PepsiCo,40.41,True
149,Producto,Really Michelin,Automotriz,Michelin,329.72,True
150,Producto,Strong Unilever,Alimentos,Unilever,37.01,False
151,Producto,A Puma,Deportes,Puma,15.98,False
152,Producto,Good Sony,Electrónica,Sony,119.82,False
153,Producto,Account Black+Decker,Hogar,Black+Decker,223.06,True
154,Producto,Near Michelin,Automotriz,Michelin,452.0,False
155,Producto,Government Michelin,Automotriz,Michelin,141.03,True
156,Producto,Drug LG,Electrónica,LG,374.3,True
157,Producto,Describe Reebok,Deportes,Reebok,165.77,True
158,Producto,Collection Unilever,Alimentos,Unilever,39.13,True
159,Producto,Play Oster,Hogar,Oster,300.5,False
160,Producto,City Unilever,Alimentos,Unilever,41.95,True
161,Producto,Capital Castrol,Automotriz,Castrol,404.43,True
162,Producto,Authority Apple,Electrónica,Apple,1834.23,True
163,Producto,Certainly Nestlé,Alimentos,Nestlé,9.81,False
164,Producto,Sign Castrol,Automotriz,Castrol,544.74,False
165,Producto,Experience Sony,Electrónica,Sony,1681.57,False
166,Producto,Way LG,Electrónica,LG,301.51,True
167,Producto,Claim Apple,Electrónica,Apple,628.69,True
168,Producto,Price Castrol,Automotriz,Castrol,373.61,True
169,Producto,Seat Black+Decker,Hogar,Black+Decker,102.81,False
170,Producto,Provide Hamilton Beach,Hogar,Hamilton Beach,139.65,True
171,Producto,Computer Nike,Deportes,Nike,201.91,False
172,Producto,Play Reebok,Deportes,Reebok,186.13,True
173,Producto,Deep Oster,Hogar,Oster,35.59,True
174,Producto,Onto Puma,Deportes,Puma,27.74,False
175,Producto,You Reebok,Deportes,Reebok,62.96,True
176,Producto,Realize Unilever,Alimentos,Unilever,9.46,True
177,Producto,Exactly Kellogg's,Alimentos,Kellogg's,14.43,True
178,Producto,Exist Nestlé,Alimentos,Nestlé,19.4,True
179,Producto,Happen Unilever,Alimentos,Unilever,12.53,True
180,Producto,Nearly PepsiCo,Alimentos,PepsiCo,21.59,False
181,Producto,Wait Apple,Electrónica,Apple,1087.42,True
182,Producto,Price Xiaomi,Electrónica,Xiaomi,1725.35,True
183,Producto,Player T-Fal,Hogar,T-Fal,148.02,False
184,Producto,Away T-Fal,Hogar,T-Fal,290.58,True
185,Producto,Fact Samsung,Electrónica,Samsung,934.07,False
186,Producto,Edge Unilever,Alimentos,Unilever,1.54,False
187,Producto,Wonder Castrol,Automotriz,Castrol,241.46,False
188,Producto,Ahead PepsiCo,Alimentos,PepsiCo,12.9,True
189,Producto,Mouth Hamilton Beach,Hogar,Hamilton Beach,397.88,True
190,Producto,Amount Hamilton Beach,Hogar,Hamilton Beach,395.43,False
191,Producto,Almost Goodyear,Automotriz,Goodyear,385.68,True
192,Producto,Throw Goodyear,Automotriz,Goodyear,574.23,True
193,Producto,Line Puma,Deportes,Puma,225.69,False
194,Producto,Probably Kellogg's,Alimentos,Kellogg's,21.22,True
195,Producto,Allow Nestlé,Alimentos,Nestlé,26.86,True
196,Producto,Face Sony,Electrónica,Sony,1142.97,True
197,Producto,Coach Hamilton Beach,Hogar,Hamilton Beach,319.93,False
198,Producto,Town LG,Electrónica,LG,961.44,True
199,Producto,Soon Apple,Electrónica,Apple,646.69,False
200,Producto,Interest Adidas,Deportes,Adidas,135.51,True
201,Producto,Meeting Oster,Hogar,Oster,23.91,True
202,Producto,Heavy Michelin,Automotriz,Michelin,529.87,False
203,Producto,Writer Puma,Deportes,Puma,252.29,True
204,Producto,Sit Adidas,Deportes,Adidas,77.2,False
205,Producto,Look Puma,Deportes,Puma,100.0,False
206,Producto,Bring Nike,Deportes,Nike,183.98,True
207,Producto,Hand Black+Decker,Hogar,Black+Decker,483.5,True
208,Producto,Indeed PepsiCo,Alimentos,PepsiCo,42.44,True
209,Producto,Her Puma,Deportes,Puma,96.53,False
210,Producto,Data Hamilton Beach,Hogar,Hamilton Beach,388.62,False
211,Producto,Improve Apple,Electrónica,Apple,1020.03,False
212,Producto,Although Adidas,Deportes,Adidas,287.47,False
213,Producto,Wait Nike,Deportes,Nike,41.09,True
214,Producto,Indicate Puma,Deportes,Puma,175.32,False
215,Producto,Myself Michelin,Automotriz,Michelin,282.22,True
216,Producto,Box Black+Decker,Hogar,Black+Decker,141.78,False
217,Producto,Need T-Fal,Hogar,T-Fal,348.64,True
218,Producto,Whether Apple,Electrónica,Apple,869.83,False
219,Producto,Pick Michelin,Automotriz,Michelin,230.74,False
220,Producto,Step Hamilton Beach,Hogar,Hamilton Beach,96.79,True
221,Producto,Side Kellogg's,Alimentos,Kellogg's,48.7,True
222,Producto,Piece Nestlé,Alimentos,Nestlé,40.08,True
223,Producto,Social Castrol,Automotriz,Castrol,730.71,True
224,Producto,Inside LG,Electrónica,LG,672.85,False
225,Producto,Large Adidas,Deportes,Adidas,35.52,False
226,Producto,Produce Adidas,Deportes,Adidas,18.41,False
227,Producto,American Castrol,Automotriz,Castrol,524.34,True
228,Producto,Gun Castrol,Automotriz,Castrol,470.8,False
229,Producto,Glass Reebok,Deportes,Reebok,69.29,True
230,Producto,Good PepsiCo,Alimentos,PepsiCo,14.53,True
231,Producto,Executive Goodyear,Automotriz,Goodyear,291.78,False
232,Producto,Standard T-Fal,Hogar,T-Fal,383.49,False
233,Producto,Perform Castrol,Automotriz,Castrol,439.66,True
234,Producto,Read PepsiCo,Alimentos,PepsiCo,47.21,False
235,Producto,Begin T-Fal,Hogar,T-Fal,146.44,False
236,Producto,Make PepsiCo,Alimentos,PepsiCo,9.95,False
237,Producto,Miss Xiaomi,Electrónica,Xiaomi,585.27,True
238,Producto,Onto Bridgestone,Automotriz,Bridgestone,755.47,False
239,Producto,Relate Sony,Electrónica,Sony,682.67,True
240,Producto,Image Nestlé,Alimentos,Nestlé,16.52,True
241,Producto,Data Castrol,Automotriz,Castrol,559.33,False
242,Producto,Civil Kellogg's,Alimentos,Kellogg's,31.05,False
243,Producto,Recognize T-Fal,Hogar,T-Fal,260.6,False
244,Producto,Then Kellogg's,Alimentos,Kellogg's,23.86,True
245,Producto,Yes Castrol,Automotriz,Castrol,457.6,True
246,Producto,Street Black+Decker,Hogar,Black+Decker,73.11,True
247,Producto,Purpose Nike,Deportes,Nike,108.37,False
248,Producto,People Oster,Hogar,Oster,499.25,True
249,Producto,Road Castrol,Automotriz,Castrol,234.82,True
250,Producto,Wrong Oster,Hogar,Oster,499.0,True
251,Producto,News Samsung,Electrónica,Samsung,1782.35,False
252,Producto,Seem Goodyear,Automotriz,Goodyear,260.1,False
253,Producto,Physical Unilever,Alimentos,Unilever,40.2,False
254,Producto,Police Xiaomi,Electrónica,Xiaomi,1057.8,False
255,Producto,Parent Xiaomi,Electrónica,Xiaomi,434.54,True
256,Producto,Process Nestlé,Alimentos,Nestlé,9.21,False
257,Producto,At PepsiCo,Alimentos,PepsiCo,25.39,False
258,Producto,Radio Michelin,Automotriz,Michelin,275.3,True
259,Producto,Often Apple,Electrónica,Apple,617.63,True
260,Producto,Nearly Samsung,Electrónica,Samsung,1155.26,False
261,Producto,Notice Reebok,Deportes,Reebok,129.84,True
262,Producto,Make Nike,Deportes,Nike,249.87,False
263,Producto,Price Hamilton Beach,Hogar,Hamilton Beach,141.87,True
264,Producto,Social Castrol,Automotriz,Castrol,669.68,False
265,Producto,Land Nestlé,Alimentos,Nestlé,8.46,False
266,Producto,Ability Castrol,Automotriz,Castrol,674.68,True
267,Producto,Experience Puma,Deportes,Puma,176.01,True
268,Producto,Knowledge Castrol,Automotriz,Castrol,532.42,False
269,Producto,Fish Apple,Electrónica,Apple,1000.25,True
270,Producto,Quickly Nestlé,Alimentos,Nestlé,36.72,False
271,Producto,Office Reebok,Deportes,Reebok,76.4,True
272,Producto,Number Black+Decker,Hogar,Black+Decker,142.2,False
273,Producto,Allow Puma,Deportes,Puma,128.21,True
274,Producto,Difference Kellogg's,Alimentos,Kellogg's,36.39,False
275,Producto,Cold Kellogg's,Alimentos,Kellogg's,17.18,False
276,Producto,Care Samsung,Electrónica,Samsung,571.16,True
277,Producto,Parent Puma,Deportes,Puma,37.11,True
278,Producto,Among Nestlé,Alimentos,Nestlé,37.75,False
279,Producto,Care PepsiCo,Alimentos,PepsiCo,34.27,False
280,Producto,Next Nestlé,Alimentos,Nestlé,33.98,False
281,Producto,Benefit Nike,Deportes,Nike,178.23,False
282,Producto,War Puma,Deportes,Puma,36.75,False
283,Producto,Democratic Apple,Electrónica,Apple,1005.52,True
284,Producto,Discover Samsung,Electrónica,Samsung,1043.97,False
285,Producto,Plan Hamilton Beach,Hogar,Hamilton Beach,46.94,False
286,Producto,Beautiful Samsung,Electrónica,Samsung,681.05,True
287,Producto,City Kellogg's,Alimentos,Kellogg's,28.29,False
288,Producto,Focus Oster,Hogar,Oster,252.23,True
289,Producto,Quite Kellogg's,Alimentos,Kellogg's,10.55,False
290,Producto,Century Samsung,Electrónica,Samsung,1249.59,False
291,Producto,Create Adidas,Deportes,Adidas,97.28,False
292,Producto,Activity Kellogg's,Alimentos,Kellogg's,11.94,True
293,Producto,Hope Unilever,Alimentos,Unilever,48.06,True
294,Producto,Student PepsiCo,Alimentos,PepsiCo,49.57,True
295,Producto,Recently Goodyear,Automotriz,Goodyear,316.46,True
296,Producto,Capital Nike,Deportes,Nike,15.27,True
297,Producto,Food Kellogg's,Alimentos,Kellogg's,5.6,False
298,Producto,Detail Xiaomi,Electrónica,Xiaomi,701.27,False
299,Producto,Kind Puma,Deportes,Puma,201.79,False
300,Producto,Ever Michelin,Automotriz,Michelin,614.51,False
301,Producto,Majority Black+Decker,Hogar,Black+Decker,48.55,True
302,Producto,Firm Xiaomi,Electrónica,Xiaomi,1340.58,False
303,Producto,Send T-Fal,Hogar,T-Fal,121.89,True
304,Producto,Indeed Nestlé,Alimentos,Nestlé,45.76,False
305,Producto,Manage Xiaomi,Electrónica,Xiaomi,414.42,False
306,Producto,Report Adidas,Deportes,Adidas,192.44,True
307,Producto,Man Castrol,Automotriz,Castrol,617.76,False
308,Producto,Something Samsung,Electrónica,Samsung,1082.66,True
309,Producto,Myself Kellogg's,Alimentos,Kellogg's,27.85,False
310,Producto,Person Michelin,Automotriz,Michelin,521.36,True
311,Producto,Research Xiaomi,Electrónica,Xiaomi,807.87,False
312,Producto,Who Reebok,Deportes,Reebok,58.71,False
313,Producto,Agency Michelin,Automotriz,Michelin,317.07,True
314,Producto,About Puma,Deportes,Puma,294.07,True
315,Producto,Goal Michelin,Automotriz,Michelin,788.37,False
316,Producto,Movie Sony,Electrónica,Sony,1113.23,False
317,Producto,Identify Kellogg's,Alimentos,Kellogg's,12.04,False
318,Producto,Wife Apple,Electrónica,Apple,1477.13,False
319,Producto,Return Goodyear,Automotriz,Goodyear,484.84,True
320,Producto,Skin Bridgestone,Automotriz,Bridgestone,707.37,False
321,Producto,Keep Bridgestone,Automotriz,Bridgestone,345.59,False
322,Producto,Appear Apple,Electrónica,Apple,1354.28,False
323,Producto,Risk Michelin,Automotriz,Michelin,719.17,True
324,Producto,End Sony,Electrónica,Sony,959.99,False
325,Producto,Among Hamilton Beach,Hogar,Hamilton Beach,336.13,False
326,Producto,Safe Puma,Deportes,Puma,288.83,False
327,Producto,Save Bridgestone,Automotriz,Bridgestone,480.35,True
328,Producto,Growth Puma,Deportes,Puma,222.64,False
329,Producto,Mrs Hamilton Beach,Hogar,Hamilton Beach,279.24,True
330,Producto,Travel Reebok,Deportes,Reebok,260.11,False
331,Producto,Call Nike,Deportes,Nike,17.1,True
332,Producto,Agency Castrol,Automotriz,Castrol,798.31,True
333,Producto,Theory Hamilton Beach,Hogar,Hamilton Beach,115.12,True
334,Producto,Cost Unilever,Alimentos,Unilever,2.28,False
335,Producto,Ground Puma,Deportes,Puma,290.68,True
336,Producto,Media LG,Electrónica,LG,1951.48,False
337,Producto,Onto Xiaomi,Electrónica,Xiaomi,490.67,True
338,Producto,Much Samsung,Electrónica,Samsung,723.32,True
339,Producto,Personal Unilever,Alimentos,Unilever,30.82,True
340,Producto,Low T-Fal,Hogar,T-Fal,271.75,True
341,Producto,Out Black+Decker,Hogar,Black+Decker,293.26,False
342,Producto,Cost LG,Electrónica,LG,977.59,False
343,Producto,Our Nestlé,Alimentos,Nestlé,23.57,True
344,Producto,Who Castrol,Automotriz,Castrol,517.8,True
345,Producto,Item Samsung,Electrónica,Samsung,586.97,True
346,Producto,Bad Puma,Deportes,Puma,234.97,True
347,Producto,Medical Bridgestone,Automotriz,Bridgestone,127.16,True
348,Producto,Beat Kellogg's,Alimentos,Kellogg's,48.51,False
349,Producto,Box Goodyear,Automotriz,Goodyear,574.54,False
350,Producto,There Adidas,Deportes,Adidas,195.55,True
351,Producto,Everyone Sony,Electrónica,Sony,755.39,True
352,Producto,Send Unilever,Alimentos,Unilever,40.94,False
353,Producto,Arm LG,Electrónica,LG,312.76,False
354,Producto,Specific Oster,Hogar,Oster,233.31,True
355,Producto,Consumer Castrol,Automotriz,Castrol,486.51,True
356,Producto,Maintain Reebok,Deportes,Reebok,62.97,True
357,Producto,Film Samsung,Electrónica,Samsung,570.02,False
358,Producto,Face Reebok,Deportes,Reebok,263.0,False
359,Producto,Drop Hamilton Beach,Hogar,Hamilton Beach,296.17,True
360,Producto,Indeed Unilever,Alimentos,Unilever,28.28,True
361,Producto,Chair Kellogg's,Alimentos,Kellogg's,38.53,False
362,Producto,Choose Xiaomi,Electrónica,Xiaomi,1863.61,True
363,Producto,Face Adidas,Deportes,Adidas,160.79,True
364,Producto,Usually Puma,Deportes,Puma,108.13,False
365,Producto,Response Goodyear,Automotriz,Goodyear,344.22,True
366,Producto,Item Adidas,Deportes,Adidas,89.43,False
367,Producto,Begin Michelin,Automotriz,Michelin,407.96,True
368,Producto,Move Nestlé,Alimentos,Nestlé,9.03,False
369,Producto,Of Nestlé,Alimentos,Nestlé,15.05,False
370,Producto,Age Kellogg's,Alimentos,Kellogg's,46.94,False
371,Producto,Draw Nike,Deportes,Nike,42.25,True
372,Producto,Box Kellogg's,Alimentos,Kellogg's,37.47,False
373,Producto,Run Adidas,Deportes,Adidas,280.56,False
374,Producto,Everyone Sony,Electrónica,Sony,429.68,False
375,Producto,Those T-Fal,Hogar,T-Fal,87.76,False
376,Producto,Billion Oster,Hogar,Oster,68.95,False
377,Producto,Early Reebok,Deportes,Reebok,112.55,True
378,Producto,Pretty Castrol,Automotriz,Castrol,477.49,True
379,Producto,Resource Sony,Electrónica,Sony,607.91,True
380,Producto,Cost Michelin,Automotriz,Michelin,261.19,False
381,Producto,Rather LG,Electrónica,LG,601.2,False
382,Producto,Cause Unilever,Alimentos,Unilever,33.6,False
383,Producto,Agree Goodyear,Automotriz,Goodyear,401.63,True
384,Producto,Baby Puma,Deportes,Puma,80.89,False
385,Producto,Group Bridgestone,Automotriz,Bridgestone,433.51,False
386,Producto,Program Apple,Electrónica,Apple,591.22,True
387,Producto,Take Nike,Deportes,Nike,191.14,False
388,Producto,Feel PepsiCo,Alimentos,PepsiCo,36.86,False
389,Producto,Country Castrol,Automotriz,Castrol,212.28,True
390,Producto,Western Kellogg's,Alimentos,Kellogg's,39.16,True
391,Producto,Street LG,Electrónica,LG,1154.12,False
392,Producto,Pass Sony,Electrónica,Sony,797.34,True
393,Producto,Or PepsiCo,Alimentos,PepsiCo,9.48,True
394,Producto,Class Hamilton Beach,Hogar,Hamilton Beach,244.27,False
395,Producto,Herself Kellogg's,Alimentos,Kellogg's,23.87,False
396,Producto,Someone Samsung,Electrónica,Samsung,742.24,True
397,Producto,Dark Bridgestone,Automotriz,Bridgestone,506.09,False
398,Producto,Conference Nike,Deportes,Nike,105.06,True
399,Producto,Live Goodyear,Automotriz,Goodyear,796.82,False
400,Producto,Beautiful Kellogg's,Alimentos,Kellogg's,19.47,False
401,Producto,Tv Castrol,Automotriz,Castrol,328.17,True
402,Producto,Church Unilever,Alimentos,Unilever,8.67,True
403,Producto,Nature Kellogg's,Alimentos,Kellogg's,46.89,False
404,Producto,Watch Nike,Deportes,Nike,193.21,False
405,Producto,Father Bridgestone,Automotriz,Bridgestone,105.51,False
406,Producto,Building Adidas,Deportes,Adidas,256.88,False
407,Producto,Unit PepsiCo,Alimentos,PepsiCo,42.71,False
408,Producto,Here Oster,Hogar,Oster,210.05,True
409,Producto,Most Oster,Hogar,Oster,109.25,True
410,Producto,Value Kellogg's,Alimentos,Kellogg's,22.89,False
411,Producto,Loss Hamilton Beach,Hogar,Hamilton Beach,48.23,True
412,Producto,Each Nestlé,Alimentos,Nestlé,48.77,True
413,Producto,Rise Black+Decker,Hogar,Black+Decker,125.86,False
414,Producto,Seat Hamilton Beach,Hogar,Hamilton Beach,215.66,False
415,Producto,Behavior Michelin,Automotriz,Michelin,130.64,True
416,Producto,Perhaps Black+Decker,Hogar,Black+Decker,227.68,True
417,Producto,Second Puma,Deportes,Puma,130.13,False
418,Producto,Face Black+Decker,Hogar,Black+Decker,376.22,True
419,Producto,Record Sony,Electrónica,Sony,1881.22,True
420,Producto,Side Oster,Hogar,Oster,109.5,False
421,Producto,Arm Black+Decker,Hogar,Black+Decker,320.77,True
422,Producto,Themselves Puma,Deportes,Puma,103.12,False
423,Producto,Region Adidas,Deportes,Adidas,48.49,False
424,Producto,From Puma,Deportes,Puma,22.68,True
425,Producto,Over Unilever,Alimentos,Unilever,9.11,True
426,Producto,Minute Castrol,Automotriz,Castrol,717.97,False
427,Producto,Idea Goodyear,Automotriz,Goodyear,315.35,False
428,Producto,Reach PepsiCo,Alimentos,PepsiCo,29.43,True
429,Producto,Child Sony,Electrónica,Sony,471.41,True
430,Producto,Drop Goodyear,Automotriz,Goodyear,779.69,False
431,Producto,Chair Nike,Deportes,Nike,296.8,False
432,Producto,Step Hamilton Beach,Hogar,Hamilton Beach,313.05,False
433,Producto,Window T-Fal,Hogar,T-Fal,465.37,True
434,Producto,Office Oster,Hogar,Oster,357.85,False
435,Producto,These Nestlé,Alimentos,Nestlé,2.03,True
436,Producto,Girl Hamilton Beach,Hogar,Hamilton Beach,75.94,False
437,Producto,Whole Black+Decker,Hogar,Black+Decker,284.29,True
438,Producto,Million Kellogg's,Alimentos,Kellogg's,24.93,True
439,Producto,But Apple,Electrónica,Apple,173.17,False
440,Producto,American Samsung,Electrónica,Samsung,269.75,True
441,Producto,Race Bridgestone,Automotriz,Bridgestone,259.01,True
442,Producto,Result Samsung,Electrónica,Samsung,1069.53,False
443,Producto,Few Sony,Electrónica,Sony,1907.54,False
444,Producto,Institution Reebok,Deportes,Reebok,89.8,True
