start_id,start_label,type,end_id,end_label,ultimo_envio,cantidad_envios,frecuencia_envios
3,Almacen,SUMINISTRA,8,Sucursal,2025-01-14,197,Semanal
2,Almacen,SUMINISTRA,7,Sucursal,2025-02-07,266,Diario
1,Almacen,SUMINISTRA,2,Sucursal,2025-01-31,35,Diario
7,Almacen,SUMINISTRA,1,Sucursal,2025-01-29,175,Mensual
2,Almacen,SUMINISTRA,7,Sucursal,2025-01-15,113,Semanal
6,Almacen,SUMINISTRA,2,Sucursal,2025-01-03,76,Diario
4,Almacen,SUMINISTRA,7,Sucursal,2025-02-02,34,Diario
9,Almacen,SUMINISTRA,8,Sucursal,2025-01-04,282,Mensual
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-08,265,Diario
1,Almacen,SUMINISTRA,2,Sucursal,2025-01-19,59,Semanal
9,Almacen,SUMINISTRA,0,Sucursal,2025-02-23,93,Trimestral
6,Almacen,SUMINISTRA,14,Sucursal,2025-02-26,77,Diario
1,Almacen,SUMINISTRA,5,Sucursal,2025-01-25,45,Trimestral
8,Almacen,SUMINISTRA,13,Sucursal,2025-01-17,110,Trimestral
5,Almacen,SUMINISTRA,4,Sucursal,2025-01-23,282,Diario
2,Almacen,SUMINISTRA,0,Sucursal,2025-01-29,193,Diario
4,Almacen,SUMINISTRA,10,Sucursal,2025-02-17,71,Trimestral
1,Almacen,SUMINISTRA,7,Sucursal,2025-02-11,259,Mensual
9,Almacen,SUMINISTRA,4,Sucursal,2025-01-17,173,Semanal
2,Almacen,SUMINISTRA,11,Sucursal,2025-02-24,29,Mensual
9,Almacen,SUMINISTRA,6,Sucursal,2025-02-26,140,Semanal
5,Almacen,SUMINISTRA,4,Sucursal,2025-01-24,149,Semanal
4,Almacen,SUMINISTRA,5,Sucursal,2025-02-16,242,Trimestral
3,Almacen,SUMINISTRA,3,Sucursal,2025-02-14,86,Mensual
5,Almacen,SUMINISTRA,3,Sucursal,2025-02-23,87,Trimestral
4,Almacen,SUMINISTRA,12,Sucursal,2025-01-14,91,Trimestral
0,Almacen,SUMINISTRA,2,Sucursal,2025-02-21,289,Mensual
8,Almacen,SUMINISTRA,12,Sucursal,2025-02-13,298,Diario
7,Almacen,SUMINISTRA,4,Sucursal,2025-01-17,143,Trimestral
3,Almacen,SUMINISTRA,4,Sucursal,2025-02-19,249,Semanal
1,Almacen,SUMINISTRA,2,Sucursal,2025-02-15,298,Mensual
8,Almacen,SUMINISTRA,6,Sucursal,2025-01-10,275,Semanal
6,Almacen,SUMINISTRA,8,Sucursal,2025-01-21,246,Trimestral
3,Almacen,SUMINISTRA,11,Sucursal,2025-01-14,117,Mensual
9,Almacen,SUMINISTRA,0,Sucursal,2025-01-08,75,Diario
8,Almacen,SUMINISTRA,12,Sucursal,2025-01-18,178,Trimestral
4,Almacen,SUMINISTRA,14,Sucursal,2025-01-11,203,Trimestral
9,Almacen,SUMINISTRA,2,Sucursal,2025-01-22,102,Semanal
3,Almacen,SUMINISTRA,3,Sucursal,2025-02-24,241,Semanal
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-05,53,Semanal
2,Almacen,SUMINISTRA,10,Sucursal,2025-02-25,190,Semanal
8,Almacen,SUMINISTRA,9,Sucursal,2025-01-08,244,Semanal
7,Almacen,SUMINISTRA,14,Sucursal,2025-01-08,223,Trimestral
4,Almacen,SUMINISTRA,0,Sucursal,2025-02-04,288,Trimestral
0,Almacen,SUMINISTRA,2,Sucursal,2025-02-11,23,Trimestral
6,Almacen,SUMINISTRA,2,Sucursal,2025-01-23,35,Trimestral
8,Almacen,SUMINISTRA,0,Sucursal,2025-02-24,115,Diario
3,Almacen,SUMINISTRA,4,Sucursal,2025-01-03,48,Diario
2,Almacen,SUMINISTRA,5,Sucursal,2025-01-02,254,Semanal
5,Almacen,SUMINISTRA,8,Sucursal,2025-02-07,195,Mensual
8,Almacen,SUMINISTRA,9,Sucursal,2025-02-20,64,Diario
6,Almacen,SUMINISTRA,9,Sucursal,2025-02-22,59,Semanal
6,Almacen,SUMINISTRA,2,Sucursal,2025-01-27,215,Semanal
0,Almacen,SUMINISTRA,2,Sucursal,2025-02-10,98,Trimestral
5,Almacen,SUMINISTRA,10,Sucursal,2025-02-13,56,Semanal
7,Almacen,SUMINISTRA,9,Sucursal,2025-02-07,239,Semanal
3,Almacen,SUMINISTRA,7,Sucursal,2025-01-27,190,Trimestral
9,Almacen,SUMINISTRA,8,Sucursal,2025-01-26,268,Trimestral
2,Almacen,SUMINISTRA,6,Sucursal,2025-02-16,179,Trimestral
2,Almacen,SUMINISTRA,12,Sucursal,2025-01-20,32,Mensual
4,Almacen,SUMINISTRA,3,Sucursal,2025-01-14,264,Trimestral
5,Almacen,SUMINISTRA,11,Sucursal,2025-01-11,163,Semanal
3,Almacen,SUMINISTRA,6,Sucursal,2025-02-17,296,Trimestral
6,Almacen,SUMINISTRA,5,Sucursal,2025-02-18,137,Trimestral
1,Almacen,SUMINISTRA,3,Sucursal,2025-01-16,35,Trimestral
9,Almacen,SUMINISTRA,14,Sucursal,2025-01-15,267,Diario
2,Almacen,SUMINISTRA,3,Sucursal,2025-02-16,62,Semanal
9,Almacen,SUMINISTRA,4,Sucursal,2025-01-31,170,Trimestral
2,Almacen,SUMINISTRA,8,Sucursal,2025-01-01,132,Trimestral
4,Almacen,SUMINISTRA,7,Sucursal,2025-02-18,227,Diario
9,Almacen,SUMINISTRA,0,Sucursal,2025-02-21,168,Semanal
5,Almacen,SUMINISTRA,13,Sucursal,2025-01-04,155,Trimestral
3,Almacen,SUMINISTRA,11,Sucursal,2025-01-18,228,Semanal
7,Almacen,SUMINISTRA,5,Sucursal,2025-02-14,252,Semanal
3,Almacen,SUMINISTRA,14,Sucursal,2025-02-14,258,Mensual
7,Almacen,SUMINISTRA,1,Sucursal,2025-02-22,201,Trimestral
0,Almacen,SUMINISTRA,3,Sucursal,2025-01-05,155,Trimestral
8,Almacen,SUMINISTRA,6,Sucursal,2025-01-13,180,Trimestral
7,Almacen,SUMINISTRA,13,Sucursal,2025-02-10,252,Diario
1,Almacen,SUMINISTRA,4,Sucursal,2025-02-10,270,Mensual
0,Almacen,SUMINISTRA,11,Sucursal,2025-02-16,299,Mensual
8,Almacen,SUMINISTRA,11,Sucursal,2025-02-21,99,Diario
2,Almacen,SUMINISTRA,1,Sucursal,2025-02-03,235,Diario
1,Almacen,SUMINISTRA,5,Sucursal,2025-02-10,285,Mensual
2,Almacen,SUMINISTRA,2,Sucursal,2025-02-06,170,Diario
9,Almacen,SUMINISTRA,14,Sucursal,2025-01-20,299,Mensual
1,Almacen,SUMINISTRA,13,Sucursal,2025-02-07,120,Mensual
8,Almacen,SUMINISTRA,7,Sucursal,2025-01-27,53,Semanal
3,Almacen,SUMINISTRA,12,Sucursal,2025-01-27,293,Mensual
7,Almacen,SUMINISTRA,10,Sucursal,2025-02-17,195,Trimestral
8,Almacen,SUMINISTRA,0,Sucursal,2025-02-25,147,Mensual
5,Almacen,SUMINISTRA,6,Sucursal,2025-01-28,180,Trimestral
4,Almacen,SUMINISTRA,7,Sucursal,2025-01-09,160,Trimestral
8,Almacen,SUMINISTRA,9,Sucursal,2025-02-17,46,Trimestral
3,Almacen,SUMINISTRA,5,Sucursal,2025-01-13,35,Semanal
0,Almacen,SUMINISTRA,13,Sucursal,2025-01-27,238,Mensual
1,Almacen,SUMINISTRA,3,Sucursal,2025-01-30,223,Semanal
3,Almacen,SUMINISTRA,9,Sucursal,2025-01-11,188,Diario
6,Almacen,SUMINISTRA,12,Sucursal,2025-01-17,76,Diario
6,Almacen,SUMINISTRA,12,Sucursal,2025-02-03,194,Semanal
8,Almacen,SUMINISTRA,0,Sucursal,2025-02-21,95,Trimestral
2,Almacen,SUMINISTRA,13,Sucursal,2025-02-10,225,Mensual
0,Almacen,SUMINISTRA,1,Sucursal,2025-01-02,196,Diario
3,Almacen,SUMINISTRA,7,Sucursal,2025-01-25,181,Diario
3,Almacen,SUMINISTRA,0,Sucursal,2025-01-08,201,Semanal
3,Almacen,SUMINISTRA,5,Sucursal,2025-01-15,32,Trimestral
8,Almacen,SUMINISTRA,1,Sucursal,2025-02-15,185,Semanal
5,Almacen,SUMINISTRA,3,Sucursal,2025-01-25,248,Mensual
1,Almacen,SUMINISTRA,9,Sucursal,2025-01-26,212,Trimestral
3,Almacen,SUMINISTRA,4,Sucursal,2025-02-12,68,Mensual
1,Almacen,SUMINISTRA,3,Sucursal,2025-01-05,244,Diario
8,Almacen,SUMINISTRA,4,Sucursal,2025-01-30,131,Trimestral
9,Almacen,SUMINISTRA,8,Sucursal,2025-02-17,173,Diario
9,Almacen,SUMINISTRA,7,Sucursal,2025-02-18,195,Semanal
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-26,278,Semanal
4,Almacen,SUMINISTRA,3,Sucursal,2025-01-30,105,Trimestral
9,Almacen,SUMINISTRA,3,Sucursal,2025-02-06,212,Trimestral
5,Almacen,SUMINISTRA,8,Sucursal,2025-01-18,27,Diario
1,Almacen,SUMINISTRA,9,Sucursal,2025-01-12,126,Semanal
4,Almacen,SUMINISTRA,10,Sucursal,2025-01-16,102,Mensual
8,Almacen,SUMINISTRA,8,Sucursal,2025-01-11,169,Semanal
7,Almacen,SUMINISTRA,9,Sucursal,2025-02-09,59,Mensual
3,Almacen,SUMINISTRA,5,Sucursal,2025-02-13,246,Semanal
8,Almacen,SUMINISTRA,9,Sucursal,2025-01-06,133,Trimestral
4,Almacen,SUMINISTRA,9,Sucursal,2025-02-22,237,Mensual
9,Almacen,SUMINISTRA,1,Sucursal,2025-02-09,23,Semanal
8,Almacen,SUMINISTRA,7,Sucursal,2025-01-01,177,Semanal
6,Almacen,SUMINISTRA,7,Sucursal,2025-01-06,24,Semanal
6,Almacen,SUMINISTRA,10,Sucursal,2025-02-20,95,Mensual
9,Almacen,SUMINISTRA,11,Sucursal,2025-01-24,266,Trimestral
8,Almacen,SUMINISTRA,3,Sucursal,2025-02-18,108,Semanal
1,Almacen,SUMINISTRA,14,Sucursal,2025-01-12,237,Mensual
9,Almacen,SUMINISTRA,12,Sucursal,2025-02-08,51,Mensual
9,Almacen,SUMINISTRA,13,Sucursal,2025-01-10,127,Trimestral
1,Almacen,SUMINISTRA,0,Sucursal,2025-02-17,225,Diario
6,Almacen,SUMINISTRA,2,Sucursal,2025-02-17,126,Semanal
1,Almacen,SUMINISTRA,14,Sucursal,2025-01-21,153,Trimestral
0,Almacen,SUMINISTRA,10,Sucursal,2025-02-11,140,Diario
7,Almacen,SUMINISTRA,11,Sucursal,2025-02-19,77,Trimestral
0,Almacen,SUMINISTRA,11,Sucursal,2025-01-31,160,Mensual
8,Almacen,SUMINISTRA,13,Sucursal,2025-02-07,248,Trimestral
7,Almacen,SUMINISTRA,1,Sucursal,2025-02-01,208,Semanal
3,Almacen,SUMINISTRA,13,Sucursal,2025-01-07,107,Diario
0,Almacen,SUMINISTRA,9,Sucursal,2025-02-08,172,Semanal
5,Almacen,SUMINISTRA,6,Sucursal,2025-02-10,288,Semanal
5,Almacen,SUMINISTRA,0,Sucursal,2025-02-20,265,Semanal
6,Almacen,SUMINISTRA,2,Sucursal,2025-02-03,210,Trimestral
9,Almacen,SUMINISTRA,0,Sucursal,2025-01-18,300,Diario
2,Almacen,SUMINISTRA,1,Sucursal,2025-02-08,142,Mensual
9,Almacen,SUMINISTRA,9,Sucursal,2025-01-29,240,Semanal
2,Almacen,SUMINISTRA,11,Sucursal,2025-01-09,125,Trimestral
1,Almacen,SUMINISTRA,10,Sucursal,2025-01-21,264,Mensual
7,Almacen,SUMINISTRA,13,Sucursal,2025-01-24,295,Semanal
5,Almacen,SUMINISTRA,2,Sucursal,2025-01-17,298,Trimestral
6,Almacen,SUMINISTRA,10,Sucursal,2025-02-15,189,Mensual
1,Almacen,SUMINISTRA,7,Sucursal,2025-01-10,215,Semanal
6,Almacen,SUMINISTRA,5,Sucursal,2025-01-18,189,Mensual
7,Almacen,SUMINISTRA,8,Sucursal,2025-01-25,253,Diario
8,Almacen,SUMINISTRA,7,Sucursal,2025-02-15,182,Diario
6,Almacen,SUMINISTRA,7,Sucursal,2025-02-13,202,Trimestral
4,Almacen,SUMINISTRA,0,Sucursal,2025-02-07,72,Mensual
2,Almacen,SUMINISTRA,8,Sucursal,2025-01-01,68,Trimestral
0,Almacen,SUMINISTRA,9,Sucursal,2025-01-24,245,Mensual
1,Almacen,SUMINISTRA,8,Sucursal,2025-02-25,279,Mensual
7,Almacen,SUMINISTRA,4,Sucursal,2025-02-01,33,Mensual
7,Almacen,SUMINISTRA,12,Sucursal,2025-02-20,193,Diario
5,Almacen,SUMINISTRA,2,Sucursal,2025-02-12,84,Semanal
9,Almacen,SUMINISTRA,0,Sucursal,2025-02-07,227,Mensual
7,Almacen,SUMINISTRA,6,Sucursal,2025-02-01,268,Trimestral
6,Almacen,SUMINISTRA,9,Sucursal,2025-01-15,154,Diario
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-08,77,Diario
7,Almacen,SUMINISTRA,11,Sucursal,2025-01-15,241,Semanal
6,Almacen,SUMINISTRA,3,Sucursal,2025-02-25,172,Semanal
8,Almacen,SUMINISTRA,7,Sucursal,2025-02-20,247,Mensual
2,Almacen,SUMINISTRA,7,Sucursal,2025-01-16,231,Trimestral
2,Almacen,SUMINISTRA,11,Sucursal,2025-02-23,51,Trimestral
9,Almacen,SUMINISTRA,0,Sucursal,2025-01-02,100,Diario
1,Almacen,SUMINISTRA,4,Sucursal,2025-02-01,105,Trimestral
2,Almacen,SUMINISTRA,8,Sucursal,2025-01-18,171,Semanal
7,Almacen,SUMINISTRA,8,Sucursal,2025-02-08,181,Diario
0,Almacen,SUMINISTRA,10,Sucursal,2025-01-08,176,Diario
1,Almacen,SUMINISTRA,5,Sucursal,2025-01-26,60,Mensual
1,Almacen,SUMINISTRA,8,Sucursal,2025-02-24,287,Diario
4,Almacen,SUMINISTRA,13,Sucursal,2025-02-16,170,Mensual
1,Almacen,SUMINISTRA,13,Sucursal,2025-02-06,246,Trimestral
7,Almacen,SUMINISTRA,6,Sucursal,2025-01-03,220,Trimestral
3,Almacen,SUMINISTRA,8,Sucursal,2025-02-26,33,Mensual
9,Almacen,SUMINISTRA,12,Sucursal,2025-01-18,65,Semanal
8,Almacen,SUMINISTRA,4,Sucursal,2025-01-03,152,Semanal
9,Almacen,SUMINISTRA,1,Sucursal,2025-01-03,40,Mensual
9,Almacen,SUMINISTRA,0,Sucursal,2025-01-05,25,Semanal
7,Almacen,SUMINISTRA,14,Sucursal,2025-01-17,60,Diario
5,Almacen,SUMINISTRA,9,Sucursal,2025-02-25,139,Semanal
1,Almacen,SUMINISTRA,11,Sucursal,2025-02-11,167,Diario
7,Almacen,SUMINISTRA,13,Sucursal,2025-01-03,179,Mensual
8,Almacen,SUMINISTRA,9,Sucursal,2025-02-16,99,Trimestral
7,Almacen,SUMINISTRA,6,Sucursal,2025-02-02,215,Trimestral
4,Almacen,SUMINISTRA,7,Sucursal,2025-02-09,105,Semanal
8,Almacen,SUMINISTRA,3,Sucursal,2025-02-17,56,Mensual
2,Almacen,SUMINISTRA,5,Sucursal,2025-02-06,152,Semanal
3,Almacen,SUMINISTRA,1,Sucursal,2025-01-09,269,Semanal
0,Almacen,SUMINISTRA,1,Sucursal,2025-02-15,291,Mensual
3,Almacen,SUMINISTRA,8,Sucursal,2025-02-12,148,Mensual
2,Almacen,SUMINISTRA,14,Sucursal,2025-01-30,240,Trimestral
7,Almacen,SUMINISTRA,4,Sucursal,2025-02-25,132,Mensual
2,Almacen,SUMINISTRA,12,Sucursal,2025-01-15,245,Mensual
7,Almacen,SUMINISTRA,5,Sucursal,2025-01-14,74,Semanal
0,Almacen,SUMINISTRA,10,Sucursal,2025-02-05,208,Trimestral
1,Almacen,SUMINISTRA,11,Sucursal,2025-01-24,189,Mensual
0,Almacen,SUMINISTRA,10,Sucursal,2025-01-11,137,Trimestral
7,Almacen,SUMINISTRA,8,Sucursal,2025-02-19,65,Semanal
7,Almacen,SUMINISTRA,8,Sucursal,2025-01-13,254,Trimestral
9,Almacen,SUMINISTRA,6,Sucursal,2025-02-04,205,Semanal
7,Almacen,SUMINISTRA,4,Sucursal,2025-02-01,64,Semanal
9,Almacen,SUMINISTRA,14,Sucursal,2025-01-27,103,Trimestral
4,Almacen,SUMINISTRA,4,Sucursal,2025-02-23,272,Diario
4,Almacen,SUMINISTRA,10,Sucursal,2025-02-20,139,Trimestral
9,Almacen,SUMINISTRA,9,Sucursal,2025-01-10,276,Trimestral
3,Almacen,SUMINISTRA,1,Sucursal,2025-01-13,162,Trimestral
0,Almacen,SUMINISTRA,0,Sucursal,2025-01-12,153,Semanal
8,Almacen,SUMINISTRA,0,Sucursal,2025-01-13,224,Trimestral
2,Almacen,SUMINISTRA,4,Sucursal,2025-02-15,106,Trimestral
0,Almacen,SUMINISTRA,0,Sucursal,2025-02-22,39,Diario
3,Almacen,SUMINISTRA,14,Sucursal,2025-01-31,154,Trimestral
7,Almacen,SUMINISTRA,1,Sucursal,2025-01-25,21,Diario
9,Almacen,SUMINISTRA,5,Sucursal,2025-02-03,231,Trimestral
2,Almacen,SUMINISTRA,4,Sucursal,2025-01-14,192,Semanal
7,Almacen,SUMINISTRA,11,Sucursal,2025-02-06,127,Diario
1,Almacen,SUMINISTRA,10,Sucursal,2025-01-11,297,Trimestral
6,Almacen,SUMINISTRA,1,Sucursal,2025-02-13,190,Semanal
1,Almacen,SUMINISTRA,12,Sucursal,2025-01-19,68,Diario
2,Almacen,SUMINISTRA,10,Sucursal,2025-02-16,190,Trimestral
2,Almacen,SUMINISTRA,4,Sucursal,2025-02-01,230,Trimestral
5,Almacen,SUMINISTRA,5,Sucursal,2025-02-06,57,Mensual
5,Almacen,SUMINISTRA,0,Sucursal,2025-02-12,222,Mensual
7,Almacen,SUMINISTRA,10,Sucursal,2025-01-30,127,Trimestral
4,Almacen,SUMINISTRA,9,Sucursal,2025-02-06,115,Trimestral
5,Almacen,SUMINISTRA,0,Sucursal,2025-02-18,142,Trimestral
2,Almacen,SUMINISTRA,1,Sucursal,2025-02-25,257,Trimestral
5,Almacen,SUMINISTRA,7,Sucursal,2025-02-01,90,Semanal
7,Almacen,SUMINISTRA,7,Sucursal,2025-02-13,101,Trimestral
4,Almacen,SUMINISTRA,4,Sucursal,2025-01-29,107,Mensual
6,Almacen,SUMINISTRA,11,Sucursal,2025-01-30,209,Diario
9,Almacen,SUMINISTRA,10,Sucursal,2025-02-09,59,Semanal
6,Almacen,SUMINISTRA,1,Sucursal,2025-01-17,123,Trimestral
9,Almacen,SUMINISTRA,14,Sucursal,2025-02-25,68,Semanal
0,Almacen,SUMINISTRA,10,Sucursal,2025-01-17,131,Trimestral
3,Almacen,SUMINISTRA,5,Sucursal,2025-01-04,112,Trimestral
7,Almacen,SUMINISTRA,2,Sucursal,2025-02-18,85,Trimestral
2,Almacen,SUMINISTRA,8,Sucursal,2025-02-18,28,Trimestral
6,Almacen,SUMINISTRA,5,Sucursal,2025-01-13,30,Semanal
8,Almacen,SUMINISTRA,11,Sucursal,2025-02-15,211,Trimestral
1,Almacen,SUMINISTRA,3,Sucursal,2025-02-07,248,Mensual
1,Almacen,SUMINISTRA,12,Sucursal,2025-01-03,39,Semanal
1,Almacen,SUMINISTRA,8,Sucursal,2025-01-01,246,Mensual
8,Almacen,SUMINISTRA,12,Sucursal,2025-02-19,292,Trimestral
5,Almacen,SUMINISTRA,4,Sucursal,2025-02-15,192,Trimestral
1,Almacen,SUMINISTRA,10,Sucursal,2025-01-20,252,Trimestral
6,Almacen,SUMINISTRA,3,Sucursal,2025-02-22,259,Mensual
6,Almacen,SUMINISTRA,10,Sucursal,2025-02-21,63,Diario
8,Almacen,SUMINISTRA,1,Sucursal,2025-01-29,29,Mensual
4,Almacen,SUMINISTRA,11,Sucursal,2025-01-08,45,Mensual
2,Almacen,SUMINISTRA,10,Sucursal,2025-01-13,45,Mensual
4,Almacen,SUMINISTRA,8,Sucursal,2025-02-15,163,Diario
